Date,Humidity,Wind Speed,Dew Point,Temperature,Pressure,AQI,PM2.5
01-10-2019,83,4.5,76,81.9,28.1,84,35.5
02-10-2019,81.6,4.6,77.4,83.8,28.1,83,34
03-10-2019,82,3.7,75.3,81.7,28.1,81,32
04-10-2019,85.4,2.7,73.9,78.6,28.1,94,42
05-10-2019,87.4,3.5,75.3,79.4,28.1,112,55.5
06-10-2019,86.3,2.5,73.3,77.9,28.1,97,45.5
07-10-2019,82.9,2.4,76,81.6,28.1,126,70.5
08-10-2019,86.2,3.1,76.3,80.8,28,125,69
09-10-2019,88.7,1.7,74.5,78.1,28,132,75.5
10-10-2019,85.6,3.4,72.9,77.3,28.1,138,81
11-10-2019,83.4,3.2,73.3,78.6,28.1,92,39.5
12-10-2019,84.3,2.2,76.4,82,28.1,91,38
13-10-2019,85.2,2.3,76.3,81.4,28.1,86,36.5
14-10-2019,81,4.7,76.9,83.4,28.1,78,30.5
15-10-2019,81.9,8.8,76,82.3,28.1,110,51
16-10-2019,92.9,3.9,73.2,75.5,28.1,121,62.5
17-10-2019,84.6,5.1,73.9,78.8,28.1,123,64
18-10-2019,86.1,5.6,75.2,79.8,28.1,104,47.5
19-10-2019,89.9,5.1,75.7,79.2,28.1,60,17.5
20-10-2019,91.5,3.1,75.5,78.3,28.1,59,16
21-10-2019,85.5,4.5,74.4,79.2,28.1,68,23.5
22-10-2019,86.2,3,74,78.7,28,53,14.5
23-10-2019,86,3.5,74.3,79.1,28,101,46
24-10-2019,89.5,4.1,74.7,78.2,28,108,49.5
25-10-2019,81.5,4.1,75.4,81.8,28,70,24.5
26-10-2019,79.9,5.3,74.8,82.1,28.1,92,39.5
27-10-2019,77.3,4.1,75.7,83.8,28.1,54,15.5
28-10-2019,83.4,4.9,76.7,82.3,28.1,79,31.5
29-10-2019,87.7,3.4,73.3,77,28.1,120,61
30-10-2019,88.6,5.1,75,78.8,28.1,94,42
31-10-2019,87,5.9,74.8,79.2,28.1,97,45.5
01-11-2019,82.7,4.8,75.3,81.3,28.1,57,18.5
02-11-2019,79.8,4.3,75.3,82.4,28.1,61,19.5
03-11-2019,77.9,3.4,75.2,83.2,28.1,81,32
04-11-2019,66.9,3.2,71.1,83.8,28.1,91,38
05-11-2019,69.7,2.4,71.3,82.5,28.1,134,77
06-11-2019,79.5,2,74.1,81.5,28,160,113
07-11-2019,71.3,2,71.8,82.4,28,158,111.5
08-11-2019,75.2,1.9,72.7,81.6,28.1,150,104
09-11-2019,73.5,3.7,72.3,81.7,28.1,157,110
10-11-2019,66.5,4.6,68.1,80.7,28.1,162,115
11-11-2019,75.2,4,71.2,79.9,28.1,146,99.5
12-11-2019,68.6,5.2,67.8,79.1,28.1,138,81
13-11-2019,70.9,4.7,67.9,78.4,28.2,132,75.5
14-11-2019,78,4.2,70.2,77.9,28.1,144,98
15-11-2019,78.8,2.9,71.6,78.5,28.1,156,109.5
16-11-2019,68.3,3.7,69.9,81.4,28.1,158,111.5
17-11-2019,65.2,5.4,68.5,81.8,28.1,148,102.5
18-11-2019,64.2,4,67.1,80.7,28.1,154,107.5
19-11-2019,68.3,2.8,70,81.5,28.1,160,113.5
20-11-2019,78.1,4,71.3,78.8,28.1,162,115.5
21-11-2019,77.9,4,70.2,77.7,28.2,162,115.5
22-11-2019,76.5,2.8,68.5,76.7,28.2,157,110
23-11-2019,62,4.3,65.2,79.7,28.2,159,111.5
24-11-2019,71.3,3,67.5,77.8,28.2,156,109.5
25-11-2019,74.8,4.9,69.1,77.7,28.1,161,114
26-11-2019,71.8,5,66.7,76.8,28.1,162,115.5
27-11-2019,69,4.6,64,74,28.1,162,115.5
28-11-2019,77.5,4.9,71,78.6,28.1,155,108
29-11-2019,73.7,4.3,69,76.7,28.1,161,114
30-11-2019,76.9,4.3,71.2,79.2,28.1,152,103.5
01-12-2019,80.7,5.5,71.7,78.2,28.2,147,100.5
02-12-2019,86.3,5.8,71.1,75.3,28.2,144,98
03-12-2019,88.4,2.4,71.3,74.8,28.2,124,67.5
04-12-2019,77.4,6.3,68.8,76.6,28.2,114,57
05-12-2019,74.3,3.9,67.5,76.6,28.2,161,114
06-12-2019,76.3,4.1,66.2,74.5,28.2,162,115.5
07-12-2019,72.4,4.9,65.3,75.3,28.2,163,117
08-12-2019,79,3.4,68.8,76,28.2,162,115.5
09-12-2019,78,3.5,68.9,76.5,28.2,152,103.5
10-12-2019,69.8,3,66.8,77.8,28.1,137,76.5
11-12-2019,69.6,2.2,65.7,76.8,28.1,133,72
12-12-2019,69.2,3.6,64.8,76.2,28.1,154,107.5
13-12-2019,69.5,3.2,67.2,78.5,28.1,144,98
14-12-2019,75.2,4.8,69.5,78,28.2,104,47.5
15-12-2019,69.9,5.1,67,77.9,28.2,115,58.5
16-12-2019,73.6,4.3,66.3,75.7,28.2,120,61
17-12-2019,73.9,5,67.1,76.4,28.2,129,65.5
18-12-2019,73,3.9,66.6,76.3,28.2,150,104
19-12-2019,75.4,2.4,67,75.8,28.2,159,111.5
20-12-2019,73.2,2.2,65.8,75.8,28.1,159,111.5
21-12-2019,73.7,3.6,66.8,76.2,28.1,158,111.5
22-12-2019,72.5,4.5,66.3,76.3,28.2,162,115.5
23-12-2019,72.6,5.2,64.8,74.8,28.2,160,113
24-12-2019,71.4,5.6,66.4,76.8,28.2,158,111.5
25-12-2019,72.7,5.7,68.2,77.8,28.2,151,105.5
26-12-2019,78.3,4.5,69.8,77.1,28.1,159,111.5
27-12-2019,77.5,3.6,69.9,77.6,28.1,153,106.5
28-12-2019,71.4,5.4,63.8,73.8,28.2,137,76.5
29-12-2019,72.6,4.6,64.5,74.4,28.2,160,113
30-12-2019,76.8,5.7,66.4,74.4,28.1,180,131
31-12-2019,87.2,6.1,68.7,72.6,28.2,190,138
01-03-2020,62.5,5.3,67.3,82.7,28.1,113,56
02-03-2020,58.9,4.6,67.3,84,28.1,114,57
03-03-2020,58.7,4.2,68.9,85.7,28.1,138,81
04-03-2020,46.2,6.9,61.8,86.5,28.1,144,98
05-03-2020,55.1,3.9,64.4,84.5,28,120,61
06-03-2020,60.8,5.4,67.6,83.2,28.1,148,102.5
07-03-2020,71.6,5.9,72.4,83.7,28.1,95,40.5
08-03-2020,75.2,6.4,73.7,83,28.1,107,50.5
09-03-2020,70.6,5.8,71.5,81.9,28.1,87,37
10-03-2020,68.7,28.5,71.8,83.7,28.1,84,35.5
11-03-2020,69.5,5.1,72.2,83.7,28.1,72,26
12-03-2020,75.2,5.7,74.1,83.3,28.1,82,32
13-03-2020,61.3,7.2,70.2,86.5,28.1,82,32
14-03-2020,63.6,5.2,69.9,84.7,28.1,79,31.5
15-03-2020,60.6,8.6,67.3,83.5,28.1,97,45.5
16-03-2020,62.9,7,69.5,84.4,28.1,81,32
17-03-2020,43,7.6,62.8,88.9,28.1,80,31
18-03-2020,45.2,4.6,64.2,89.7,28.1,70,24.5
19-03-2020,64.1,4.2,69.4,83.9,28.1,85,35
20-03-2020,56.6,4.5,69,87.4,28.1,115,58.5
21-03-2020,55.1,4.4,66.5,87.3,28.1,89,38.5
22-03-2020,57.3,4.2,67.9,86.9,28.1,101,46
23-03-2020,63.5,5.6,72.3,86.9,28.1,98,45
24-03-2020,57,5.8,68.4,84.5,28,107,50.5
25-03-2020,52.1,7.3,68,88.3,28,79,31.5
26-03-2020,51.5,5.8,66.5,87.2,28.1,82,32
27-03-2020,33.7,7.5,62.5,95.4,28.1,84,35.5
28-03-2020,32.9,7,62,95.3,28.1,100,46.5
29-03-2020,33.9,6.7,64.1,97,28,101,46
